Location,Cross_Street,Latitude,Longitude,Date_Reported,Date_Occurred,Time_Occurred,Area_ID,Area_Name,Reporting_District_no,Part 1-2,Modus_Operandi,Victim_Age,Victim_Sex,Victim_Descent,Premise_Code,Premise_Description,Weapon_Used_Code,Weapon_Description,Status,Status_Description,Crime_Category
1900    CHEREMOYA                    AV,,34.1053,-118.3204,01/24/2020 12:00:00 AM,01/16/2020 12:00:00 AM,1200.0,6.0,Hollywood,628.0,1.0,0344,26.0,F,A,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,Property Crimes
700 N  EL CENTRO                    AV,,34.0835,-118.3245,05/05/2020 12:00:00 AM,04/03/2020 12:00:00 AM,1300.0,6.0,Hollywood,676.0,1.0,1822 0344 0329 1300,50.0,F,W,707.0,GARAGE/CARPORT,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,Property Crimes
500 S  LOS ANGELES                  ST,,34.046,-118.2493,03/27/2020 12:00:00 AM,03/18/2020 12:00:00 AM,1100.0,1.0,Central,154.0,2.0,1218 0321 0329 1822,42.0,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,Property Crimes
13500    MONTAGUE                     ST,,34.2367,-118.4262,06/15/2020 12:00:00 AM,06/15/2020 12:00:00 AM,515.0,19.0,Mission,1977.0,1.0,1822 0344 0209 0206 0200,33.0,M,H,101.0,STREET,,,IC,Invest Cont,Property Crimes
10900    AVALON                       BL,,33.9373,-118.2652,01/25/2020 12:00:00 AM,01/25/2020 12:00:00 AM,2156.0,18.0,Southeast,1844.0,2.0,1813 0913 2000 0329,28.0,F,B,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,Property Crimes
8200    TOWNE                        AV,,33.9642,-118.2673,11/30/2020 12:00:00 AM,11/28/2020 12:00:00 AM,2000.0,12.0,77th Street,1269.0,1.0,1300 0344 1822 0385,57.0,M,H,101.0,STREET,,,IC,Invest Cont,Property Crimes
9600    HOLCOMB                      ST,,34.0508,-118.3981,12/30/2020 12:00:00 AM,12/30/2020 12:00:00 AM,517.0,8.0,West LA,857.0,1.0,1420 1822 0344 1307 1251 0321 0216,20.0,M,O,104.0,DRIVEWAY,,,IC,Invest Cont,Property Crimes
1400    GLENDALE                     BL,,34.0797,-118.2601,07/09/2020 12:00:00 AM,07/08/2020 12:00:00 AM,1920.0,11.0,Northeast,1183.0,1.0,0416 1822 0906 0371,20.0,M,H,203.0,OTHER BUSINESS,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,Violent Crimes
8400    CEDROS                       AV,,34.2265,-118.4565,05/02/2020 12:00:00 AM,04/28/2020 12:00:00 AM,1200.0,19.0,Mission,1984.0,2.0,2000 0447 1814 0444,28.0,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,Violent Crimes
ARCADIA                      ST,LOS ANGELES                  ST,34.055,-118.2388,03/10/2020 12:00:00 AM,03/09/2020 12:00:00 AM,1355.0,1.0,Central,111.0,1.0,1501,0.0,M,W,101.0,STREET,506.0,FIRE,IC,Invest Cont,Property Crimes
2500    GRIFFITH                     AV,,34.0204,-118.2572,09/27/2020 12:00:00 AM,09/26/2020 12:00:00 AM,2300.0,13.0,Newton,1323.0,1.0,0358 0344 0325 0329 1602 0397,0.0,X,X,203.0,OTHER BUSINESS,,,IC,Invest Cont,Property Crimes
9000    TOBIAS                       AV,,34.2336,-118.4517,04/12/2021 12:00:00 AM,01/01/2020 12:00:00 AM,1200.0,19.0,Mission,1974.0,2.0,0360 0913 1817 2024 0529 1258,7.0,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,JO,Juv Other,Crimes against Public Order
800 W  43RD                         ST,,34.0055,-118.2872,02/26/2020 12:00:00 AM,02/26/2020 12:00:00 AM,2200.0,3.0,Southwest,396.0,1.0,0344 1606,36.0,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,Property Crimes
SAWTELLE                     BL,SANTA MONICA                 BL,34.046,-118.448,06/12/2020 12:00:00 AM,05/25/2020 12:00:00 AM,1310.0,8.0,West LA,853.0,1.0,1822 0930 0344,36.0,M,B,605.0,AUTOMATED TELLER MACHINE (ATM),,,IC,Invest Cont,Property Crimes
LA BREA                      AV,OBAMA                        BL,34.0215,-118.3556,11/17/2020 12:00:00 AM,11/13/2020 12:00:00 AM,1700.0,3.0,Southwest,361.0,1.0,,0.0,,,101.0,STREET,,,IC,Invest Cont,Property Crimes
16800    PACIFIC COAST HY,,34.0396,-118.5458,06/20/2020 12:00:00 AM,06/20/2020 12:00:00 AM,645.0,8.0,West LA,821.0,1.0,0344 0377 1822,28.0,M,H,101.0,STREET,,,IC,Invest Cont,Property Crimes
12700 S  FIGUEROA                     ST,,33.9172,-118.2828,12/23/2020 12:00:00 AM,12/23/2020 12:00:00 AM,1250.0,18.0,Southeast,1831.0,1.0,0400 0354 1822 0342 0432 0355,27.0,M,H,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,Property Crimes
KENMORE                      AV,OLYMPIC                      AV,34.0527,-118.2968,06/27/2020 12:00:00 AM,06/27/2020 12:00:00 AM,130.0,20.0,Olympic,2055.0,1.0,,0.0,,,101.0,STREET,,,IC,Invest Cont,Property Crimes
2000 W  6TH                          ST,,34.059,-118.2736,04/30/2020 12:00:00 AM,04/29/2020 12:00:00 AM,1830.0,2.0,Rampart,246.0,1.0,,0.0,,,101.0,STREET,,,IC,Invest Cont,Property Crimes
CLOVER,SEPULVEDA,34.0256,-118.4279,03/13/2020 12:00:00 AM,03/11/2020 12:00:00 AM,2100.0,14.0,Pacific,1427.0,1.0,1606 0344 1300,74.0,M,W,101.0,STREET,,,IC,Invest Cont,Property Crimes
10900    WILLOWBROOK                  AV,,33.9371,-118.2421,03/06/2020 12:00:00 AM,03/05/2020 12:00:00 AM,1800.0,18.0,Southeast,1837.0,1.0,,0.0,,,101.0,STREET,,,IC,Invest Cont,Property Crimes
5900    CARLTON                      WY,,34.1005,-118.318,12/24/2020 12:00:00 AM,12/24/2020 12:00:00 AM,1700.0,6.0,Hollywood,647.0,2.0,2000 0400 0444 0416,48.0,M,W,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,Violent Crimes
4000 W  29TH                         ST,,34.0295,-118.3305,05/29/2020 12:00:00 AM,05/25/2020 12:00:00 AM,1315.0,3.0,Southwest,334.0,1.0,0344 0394,26.0,M,H,119.0,"PORCH, RESIDENTIAL",,,IC,Invest Cont,Property Crimes
3800    WOODLAWN                     AV,,34.012,-118.2728,09/20/2020 12:00:00 AM,09/18/2020 12:00:00 AM,1400.0,13.0,Newton,1342.0,1.0,,0.0,,,101.0,STREET,,,IC,Invest Cont,Property Crimes
11100    KEWEN                        AV,,34.2729,-118.4379,12/29/2020 12:00:00 AM,12/08/2020 12:00:00 AM,1823.0,19.0,Mission,1944.0,1.0,0344,47.0,M,W,119.0,"PORCH, RESIDENTIAL",,,IC,Invest Cont,Property Crimes
15900    HARTLAND                     ST,,34.195,-118.4793,08/25/2020 12:00:00 AM,08/11/2020 12:00:00 AM,800.0,10.0,West Valley,1029.0,2.0,1822 0100 0930 0928,35.0,M,O,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,Fraud and White-Collar Crimes
WESTMORELAND,LEEWARD,34.0587,-118.2891,09/04/2020 12:00:00 AM,09/04/2020 12:00:00 AM,2215.0,20.0,Olympic,2039.0,1.0,0446 0416 0429 1206 2034 1402 0913 2004 1218,52.0,M,H,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,Crimes against Persons
WYANDOTTE,SEPULVEDA,34.203,-118.4662,05/10/2020 12:00:00 AM,05/10/2020 12:00:00 AM,1.0,9.0,Van Nuys,901.0,2.0,0444 0416 0443 2004,49.0,F,H,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,Crimes against Public Order
300 E  65TH                         ST,,33.9806,-118.2696,08/15/2020 12:00:00 AM,08/15/2020 12:00:00 AM,140.0,13.0,Newton,1395.0,1.0,1822 1100 0430 0302,26.0,M,H,101.0,STREET,109.0,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,Violent Crimes
6400    FALLBROOK                    AV,,34.1883,-118.6274,05/19/2020 12:00:00 AM,05/19/2020 12:00:00 AM,1057.0,21.0,Topanga,2143.0,1.0,0344 2032,42.0,F,W,404.0,DEPARTMENT STORE,,,IC,Invest Cont,Property Crimes
WEIR                         ST,INGLEWOOD                    BL,33.9885,-118.4104,03/12/2020 12:00:00 AM,03/09/2020 12:00:00 AM,1930.0,14.0,Pacific,1465.0,1.0,0344 0385 1300,33.0,F,W,101.0,STREET,,,IC,Invest Cont,Property Crimes
800 S  HOPE                         ST,,34.046,-118.2595,10/05/2020 12:00:00 AM,10/05/2020 12:00:00 AM,1640.0,1.0,Central,162.0,2.0,1501 1906 0913 1814,20.0,F,H,710.0,OTHER PREMISE,,,AO,Adult Other,Crimes against Public Order
1100 E  108TH                        ST,,33.9383,-118.2565,04/21/2020 12:00:00 AM,04/21/2020 12:00:00 AM,1220.0,18.0,Southeast,1834.0,1.0,2000 0913 1814 0416 0344,24.0,F,B,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,Violent Crimes
3400    RIVERSIDE                    DR,,34.117,-118.2717,01/07/2020 12:00:00 AM,01/06/2020 12:00:00 AM,2030.0,11.0,Northeast,1132.0,1.0,0344,30.0,M,H,109.0,PARK/PLAYGROUND,,,IC,Invest Cont,Property Crimes
1200 S  WESTMORELAND                 AV,,34.0495,-118.2891,08/09/2020 12:00:00 AM,08/09/2020 12:00:00 AM,2250.0,20.0,Olympic,2069.0,2.0,0329 0416 0913 1814 2000 2002,43.0,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,Violent Crimes
1500 N  CAHUENGA                     BL,,34.098,-118.3295,12/02/2020 12:00:00 AM,12/01/2020 12:00:00 AM,1900.0,6.0,Hollywood,646.0,1.0,0329 1601 1609 1822 1402,0.0,X,X,203.0,OTHER BUSINESS,,,IC,Invest Cont,Property Crimes
1700 N  GOWER                        ST,,34.1017,-118.3224,05/25/2020 12:00:00 AM,05/25/2020 12:00:00 AM,1.0,6.0,Hollywood,637.0,2.0,1822 1609 0329,0.0,X,X,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AA,Adult Arrest,Property Crimes
400 S  LOS ANGELES                  ST,,34.0471,-118.2474,03/01/2020 12:00:00 AM,03/01/2020 12:00:00 AM,100.0,1.0,Central,145.0,1.0,1218 2034 0344,70.0,M,H,102.0,SIDEWALK,,,IC,Invest Cont,Property Crimes
8800    CEDROS                       AV,,34.23,-118.4536,02/12/2020 12:00:00 AM,01/20/2020 12:00:00 AM,1200.0,19.0,Mission,1985.0,2.0,1259 0416 0552,14.0,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,Crimes against Persons
5900    RESEDA                       BL,,34.1775,-118.536,01/21/2020 12:00:00 AM,01/19/2020 12:00:00 AM,1630.0,10.0,West Valley,1044.0,1.0,0315 1822 0416 1420 0325,0.0,M,W,244.0,TOBACCO SHOP,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,Property Crimes
14900    RAYMER                       ST,,34.2131,-118.4584,11/28/2020 12:00:00 AM,11/25/2020 12:00:00 AM,2030.0,9.0,Van Nuys,904.0,1.0,1420 0344 0325,29.0,M,H,203.0,OTHER BUSINESS,,,IC,Invest Cont,Property Crimes
18400    PRAIRIE                      ST,,34.2442,-118.5362,01/27/2021 12:00:00 AM,12/01/2020 12:00:00 AM,920.0,17.0,Devonshire,1767.0,1.0,0344 0352 0394,35.0,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,Property Crimes
7TH                          ST,SAN PEDRO                    ST,34.0401,-118.2459,02/28/2020 12:00:00 AM,02/28/2020 12:00:00 AM,1530.0,13.0,Newton,1307.0,2.0,0400 0448 0913 1218 2004,54.0,F,H,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,Violent Crimes
ROMAINE                      ST,N  HUDSON                       AV,34.0889,-118.3321,07/07/2020 12:00:00 AM,07/06/2020 12:00:00 AM,2300.0,6.0,Hollywood,656.0,1.0,0344,19.0,M,W,101.0,STREET,,,IC,Invest Cont,Property Crimes
1400 E  15TH                         ST,,34.026,-118.246,01/30/2020 12:00:00 AM,01/29/2020 12:00:00 AM,232.0,13.0,Newton,1317.0,1.0,1501,0.0,X,X,203.0,OTHER BUSINESS,506.0,FIRE,IC,Invest Cont,Property Crimes
11900    SAN VICENTE                  BL,,34.052,-118.4742,08/19/2020 12:00:00 AM,08/19/2020 12:00:00 AM,1630.0,8.0,West LA,826.0,2.0,1501,36.0,M,H,203.0,OTHER BUSINESS,,,IC,Invest Cont,Crimes against Public Order
7300    OAKWOOD                      AV,,34.0783,-118.3498,08/23/2020 12:00:00 AM,08/21/2020 12:00:00 AM,1230.0,7.0,Wilshire,714.0,1.0,0344 0352,55.0,M,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,Property Crimes
700 E  33RD                         ST,,34.0154,-118.2629,08/09/2020 12:00:00 AM,08/08/2020 12:00:00 AM,2000.0,13.0,Newton,1333.0,1.0,,0.0,,,101.0,STREET,,,IC,Invest Cont,Property Crimes
200 S  GRAMERCY                     PL,,34.0712,-118.3128,02/03/2020 12:00:00 AM,02/02/2020 12:00:00 AM,2100.0,20.0,Olympic,2011.0,1.0,1307 1609 0344 0352 1202 0358 1221,67.0,F,O,101.0,STREET,,,IC,Invest Cont,Property Crimes
VENTURA                      BL,BALBOA                       BL,34.1593,-118.5011,12/09/2020 12:00:00 AM,12/08/2020 12:00:00 AM,2100.0,10.0,West Valley,1088.0,1.0,,0.0,,,101.0,STREET,,,IC,Invest Cont,Property Crimes
2200 E  97TH                         ST,,33.9483,-118.2329,12/14/2020 12:00:00 AM,12/13/2020 12:00:00 AM,700.0,18.0,Southeast,1829.0,2.0,0329 1307,29.0,F,B,101.0,STREET,,,IC,Invest Cont,Property Crimes
700 E  17TH                         ST,,34.029,-118.2562,07/19/2020 12:00:00 AM,07/19/2020 12:00:00 AM,1020.0,13.0,Newton,1313.0,1.0,1822 1300 1309 0443 0334,51.0,M,H,101.0,STREET,102.0,HAND GUN,IC,Invest Cont,Crimes against Public Order
300 E  5TH                          ST,,34.0449,-118.2458,01/14/2020 12:00:00 AM,01/13/2020 12:00:00 AM,1430.0,1.0,Central,156.0,1.0,0344,0.0,X,X,101.0,STREET,,,IC,Invest Cont,Property Crimes
13600    SHERMAN                      WY,,34.205,-118.4339,10/23/2020 12:00:00 AM,10/23/2020 12:00:00 AM,315.0,9.0,Van Nuys,909.0,1.0,0416,33.0,M,O,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,Property Crimes
7800    TROOST                       AV,,34.213,-118.3867,05/18/2020 12:00:00 AM,05/18/2020 12:00:00 AM,1545.0,16.0,Foothill,1685.0,2.0,2000 1813 0913 0416,41.0,F,H,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,Violent Crimes
1800 W  MARTIN LUTHER KING JR        BL,,34.0109,-118.3113,05/05/2020 12:00:00 AM,05/05/2020 12:00:00 AM,1130.0,3.0,Southwest,395.0,2.0,0416 0444 0913,29.0,M,W,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,Violent Crimes
3400 S  MAIN                         ST,,34.0155,-118.2772,03/27/2020 12:00:00 AM,03/27/2020 12:00:00 AM,1.0,13.0,Newton,1341.0,2.0,0329,0.0,M,K,203.0,OTHER BUSINESS,,,IC,Invest Cont,Property Crimes
1000    VERNON                       AV,,34.0029,-118.4628,06/16/2020 12:00:00 AM,06/16/2020 12:00:00 AM,2130.0,14.0,Pacific,1415.0,2.0,1501,46.0,M,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,Crimes against Public Order
HOOVER,20TH,34.0381,-118.284,09/03/2020 12:00:00 AM,09/03/2020 12:00:00 AM,1.0,20.0,Olympic,2099.0,1.0,0344 0358 1307 1609 1822,30.0,M,O,101.0,STREET,,,IC,Invest Cont,Property Crimes
12400    ROSCOE                       BL,,34.2217,-118.4037,08/21/2020 12:00:00 AM,08/07/2020 12:00:00 AM,1400.0,16.0,Foothill,1681.0,1.0,,0.0,,,108.0,PARKING LOT,,,IC,Invest Cont,Property Crimes
100 W  59TH                         ST,,33.9869,-118.2758,10/15/2020 12:00:00 AM,10/14/2020 12:00:00 AM,1100.0,13.0,Newton,1383.0,2.0,0329,27.0,F,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,Property Crimes
1200 S  LA BREA                      AV,,34.0534,-118.3436,03/16/2020 12:00:00 AM,03/11/2020 12:00:00 AM,1200.0,7.0,Wilshire,765.0,2.0,0344,24.0,M,O,108.0,PARKING LOT,,,IC,Invest Cont,Fraud and White-Collar Crimes
4000    EAST                         BL,,34.0038,-118.4224,02/11/2020 12:00:00 AM,01/07/2020 12:00:00 AM,1030.0,14.0,Pacific,1449.0,2.0,2000 1814 0400 0408,50.0,F,W,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,Violent Crimes
4000 W  7TH                          ST,,34.0599,-118.3143,11/25/2022 12:00:00 AM,11/25/2020 12:00:00 AM,2238.0,20.0,Olympic,2031.0,1.0,0344 0352 1221 1822 0342 0216 0206 1609 0378 0321,43.0,M,A,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,Property Crimes
300 W  18TH                         ST,,33.7279,-118.284,11/07/2020 12:00:00 AM,11/07/2020 12:00:00 AM,40.0,5.0,Harbor,567.0,1.0,0216 0329 1300 1307,54.0,F,H,101.0,STREET,,,IC,Invest Cont,Property Crimes
100 S  GRAMERCY                     PL,,34.0711,-118.3124,11/25/2020 12:00:00 AM,11/19/2020 12:00:00 AM,530.0,20.0,Olympic,2011.0,1.0,1822 0342 1607 0344 0358 0394,0.0,X,X,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AA,Adult Arrest,Property Crimes
BUDLONG                      AV,80TH                         ST,33.9665,-118.2962,09/27/2020 12:00:00 AM,09/27/2020 12:00:00 AM,420.0,12.0,77th Street,1265.0,1.0,0906 1402 1100 1300,31.0,M,H,101.0,STREET,106.0,UNKNOWN FIREARM,IC,Invest Cont,Violent Crimes
200 N  VERMONT                      AV,,34.0745,-118.296,04/07/2020 12:00:00 AM,04/04/2020 12:00:00 AM,630.0,20.0,Olympic,2015.0,1.0,0100 0344 1822 0394,0.0,X,X,118.0,CONSTRUCTION SITE,,,IC,Invest Cont,Property Crimes
5300    PACKARD                      ST,,34.0499,-118.352,07/12/2020 12:00:00 AM,06/26/2020 12:00:00 AM,1142.0,7.0,Wilshire,755.0,1.0,0344,49.0,M,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,Property Crimes
10900 S  FIGUEROA                     ST,,33.9369,-118.2826,09/10/2020 12:00:00 AM,09/10/2020 12:00:00 AM,1450.0,18.0,Southeast,1842.0,2.0,1810 0913 0305 0416 0400,51.0,M,W,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,Violent Crimes
1300 N  CAHUENGA                     BL,,34.0944,-118.3288,11/23/2020 12:00:00 AM,11/22/2020 12:00:00 AM,1730.0,6.0,Hollywood,666.0,1.0,1822 0397 0344,0.0,X,X,217.0,AUTO REPAIR SHOP,,,IC,Invest Cont,Property Crimes
8000    VINELAND                     AV,,34.2157,-118.3703,12/03/2020 12:00:00 AM,12/03/2020 12:00:00 AM,1515.0,16.0,Foothill,1687.0,2.0,1822 0419 0416 0429,42.0,F,H,251.0,RECYCLING CENTER,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,Violent Crimes
6TH                          ST,MAIN                         ST,34.0453,-118.2499,12/02/2020 12:00:00 AM,12/02/2020 12:00:00 AM,1250.0,1.0,Central,164.0,2.0,1402,0.0,X,X,101.0,STREET,,,AA,Adult Arrest,Other Crimes
9800    NATIONAL                     BL,,34.0314,-118.3998,05/15/2020 12:00:00 AM,05/15/2020 12:00:00 AM,1130.0,8.0,West LA,896.0,1.0,0209 0216 2028 0325 0344 1822,0.0,X,X,203.0,OTHER BUSINESS,,,IC,Invest Cont,Property Crimes
600 W  94TH                         ST,,33.9555,-118.2871,04/02/2020 12:00:00 AM,04/02/2020 12:00:00 AM,535.0,18.0,Southeast,1801.0,1.0,0913 0603 0344,45.0,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,Property Crimes
13200    PINNEY                       ST,,34.2682,-118.4211,09/13/2020 12:00:00 AM,09/13/2020 12:00:00 AM,950.0,16.0,Foothill,1612.0,1.0,,0.0,,,101.0,STREET,,,IC,Invest Cont,Property Crimes
9300    LINCOLN                      BL,,33.9552,-118.4141,05/14/2020 12:00:00 AM,05/12/2020 12:00:00 AM,2100.0,14.0,Pacific,1483.0,1.0,,0.0,,,101.0,STREET,,,IC,Invest Cont,Property Crimes
600 E  51ST                         ST,,33.9966,-118.2652,05/16/2020 12:00:00 AM,05/16/2020 12:00:00 AM,1745.0,13.0,Newton,1363.0,2.0,0913 0432 0400,17.0,F,H,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,Violent Crimes
600 N  MARIPOSA                     AV,,34.0812,-118.2992,07/20/2020 12:00:00 AM,07/02/2020 12:00:00 AM,1200.0,2.0,Rampart,211.0,2.0,0930 1822,57.0,M,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,Fraud and White-Collar Crimes
12300    SHELDON                      ST,,34.2341,-118.4008,10/17/2020 12:00:00 AM,10/16/2020 12:00:00 AM,1130.0,16.0,Foothill,1663.0,1.0,,0.0,,,101.0,STREET,,,IC,Invest Cont,Property Crimes
100    WORLD WAY                    WY,,33.942,-118.4095,05/26/2020 12:00:00 AM,05/26/2020 12:00:00 AM,2330.0,14.0,Pacific,1494.0,2.0,2004,0.0,X,X,212.0,TRANSPORTATION FACILITY (AIRPORT),,,IC,Invest Cont,Crimes against Public Order
7TH                          ST,GARLAND,34.0517,-118.2663,08/11/2020 12:00:00 AM,08/11/2020 12:00:00 AM,1115.0,2.0,Rampart,257.0,2.0,1822 0342 1300 0417 0429 0416 0446 1218 1313,0.0,F,W,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,Violent Crimes
400 S  DETROIT                      ST,,34.0649,-118.3451,08/06/2020 12:00:00 AM,07/29/2020 12:00:00 AM,1250.0,7.0,Wilshire,736.0,1.0,0344,35.0,M,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,Property Crimes
9100    TOBIAS                       AV,,34.2354,-118.4517,03/26/2020 12:00:00 AM,03/25/2020 12:00:00 AM,1045.0,19.0,Mission,1964.0,1.0,0344 1300,41.0,F,O,121.0,YARD (RESIDENTIAL/BUSINESS),,,IC,Invest Cont,Property Crimes
400 N  KILKEA                       DR,,34.0782,-118.3669,07/24/2020 12:00:00 AM,07/22/2020 12:00:00 AM,2300.0,7.0,Wilshire,711.0,1.0,1300 1601 0344,21.0,F,W,122.0,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,Property Crimes
1400 S  LA CIENEGA                   BL,,34.0495,-118.3805,04/04/2020 12:00:00 AM,04/03/2020 12:00:00 AM,1400.0,8.0,West LA,859.0,2.0,0446 0400 1814,20.0,F,W,210.0,RESTAURANT/FAST FOOD,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,Violent Crimes
7600    WYNGATE                      ST,,34.2574,-118.2979,03/03/2020 12:00:00 AM,02/16/2020 12:00:00 AM,2230.0,16.0,Foothill,1638.0,1.0,0344 1810 1501 1202,75.0,F,W,510.0,NURSING/CONVALESCENT/RETIREMENT HOME,,,IC,Invest Cont,Property Crimes
117TH,FIGUEROA,33.9347,-118.2761,04/10/2020 12:00:00 AM,04/05/2020 12:00:00 AM,1740.0,18.0,Southeast,1842.0,1.0,1822 0302 0432 0605 1300,32.0,F,H,101.0,STREET,109.0,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,Violent Crimes
400 S  SPRING                       ST,,34.0488,-118.25,06/23/2020 12:00:00 AM,05/31/2020 12:00:00 AM,1000.0,1.0,Central,143.0,2.0,1609 0329 0321 1822,0.0,M,W,735.0,NIGHT CLUB (OPEN EVENINGS ONLY),,,IC,Invest Cont,Property Crimes
1500 S  OGDEN                        DR,,34.0493,-118.365,03/11/2020 12:00:00 AM,03/11/2020 12:00:00 AM,450.0,7.0,Wilshire,763.0,1.0,0358 0344,25.0,F,W,101.0,STREET,,,IC,Invest Cont,Property Crimes
TUJUNGA,OXNARD,34.1794,-118.379,05/07/2020 12:00:00 AM,04/16/2020 12:00:00 AM,1400.0,15.0,N Hollywood,1526.0,1.0,1822 0344,35.0,F,B,101.0,STREET,,,IC,Invest Cont,Property Crimes
4100    INGLEWOOD                    BL,,34.0002,-118.4242,05/16/2020 12:00:00 AM,05/06/2020 12:00:00 AM,1.0,14.0,Pacific,1446.0,2.0,1501,57.0,F,J,751.0,WEBSITE,,,IC,Invest Cont,Fraud and White-Collar Crimes
28TH                         ST,ORCHARD                      AV,34.0294,-118.2874,07/10/2020 12:00:00 AM,07/09/2020 12:00:00 AM,2000.0,3.0,Southwest,327.0,1.0,0329 0334 1238 1300 1607 1822,59.0,M,B,101.0,STREET,,,IC,Invest Cont,Property Crimes
2100    SUNSET PLAZA                 DR,,34.0986,-118.388,02/25/2020 12:00:00 AM,02/25/2020 12:00:00 AM,1840.0,6.0,Hollywood,631.0,2.0,0913 2038,68.0,M,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,Crimes against Public Order
2800 W  VERNON                       AV,,34.0037,-118.3236,05/07/2020 12:00:00 AM,05/07/2020 12:00:00 AM,1800.0,3.0,Southwest,392.0,2.0,0338 0400 0448 1814 2000,24.0,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,Violent Crimes
